ID,sleep_hours,inbed_hours,sleep_efficiency,Steps,Distance_miles,Calories_burned,time_sedentary_mins,Day
p8,4.716666666666667,8.5,0.5549019607843138,13459,9.0,1625,663,5
p8,6.35,9.433333333333334,0.6731448763250883,10415,6.96999979019165,1529,600,6
p8,6.866666666666666,8.7,0.789272030651341,11663,7.80000019073486,1584,605,7
p8,3.65,6.583333333333333,0.5544303797468354,12414,8.77999973297119,1638,738,8
p8,2.533333333333333,5.083333333333333,0.49836065573770494,11658,7.82999992370605,1554,845,9
p8,5.533333333333333,8.533333333333333,0.6484375,6093,4.07999992370605,1397,712,10
p8,5.916666666666667,7.933333333333334,0.7457983193277311,8911,5.96000003814697,1481,731,11
p8,3.9166666666666665,6.2,0.6317204301075269,12058,8.06999969482422,1638,724,12
p8,5.166666666666667,8.766666666666667,0.5893536121673004,14112,10.0,1655,660,13
p8,4.366666666666666,7.783333333333333,0.5610278372591007,11177,8.47999954223633,1570,781,14
p8,4.166666666666667,6.183333333333334,0.6738544474393531,11388,7.61999988555908,1551,797,15
p8,5.816666666666666,9.0,0.6462962962962963,7193,5.03999996185303,1377,714,16
p8,4.35,7.05,0.6170212765957447,7114,4.88000011444092,1407,804,17
p8,5.55,7.966666666666667,0.696652719665272,10645,7.75,1545,744,18
p8,3.95,6.366666666666666,0.6204188481675392,13238,9.19999980926514,1650,687,19
p8,6.383333333333334,10.433333333333334,0.6118210862619808,10414,7.07000017166138,1501,691,20
p8,3.8333333333333335,6.4,0.5989583333333334,16520,11.0500001907349,1760,713,21
p8,4.866666666666666,8.333333333333334,0.584,14335,9.59000015258789,1710,594,22
p8,3.55,5.6,0.6339285714285714,13559,9.4399995803833,1628,852,23
p8,5.3,8.0,0.6625,12312,8.57999992370605,1618,680,24
p8,5.383333333333334,8.533333333333333,0.630859375,11677,8.27999973297119,1590,676,25
p8,3.95,7.383333333333334,0.5349887133182845,11550,7.73000001907349,1574,703,26
p8,4.316666666666666,7.6,0.5679824561403509,13585,9.09000015258789,1633,688,27
p8,5.2,7.533333333333333,0.6902654867256637,13072,8.77999973297119,1630,676,29
p9,8.35,9.016666666666667,0.9260628465804066,8539,6.11999988555908,3654,712,1
p9,1.2833333333333334,1.2833333333333334,1.0,1982,1.41999995708466,3051,1222,5
p9,5.366666666666666,5.533333333333333,0.9698795180722891,4496,3.22000002861023,2828,950,22
p9,7.966666666666667,8.933333333333334,0.8917910447761194,10252,7.34999990463257,3879,531,23
p9,3.7666666666666666,4.133333333333334,0.9112903225806451,11728,8.43000030517578,3429,916,24
p9,6.416666666666667,6.8,0.9436274509803921,4369,3.13000011444092,2704,855,25
p9,6.066666666666666,6.7,0.9054726368159204,5862,4.19999980926514,3089,775,27
p9,7.366666666666666,8.233333333333333,0.8947368421052632,5546,3.98000001907349,2926,774,29
p10,8.916666666666666,9.283333333333333,0.9605026929982047,10210,6.88000011444092,2302,589,3
p10,7.75,8.183333333333334,0.9470468431771895,5664,3.79999995231628,1985,752,4
p10,8.433333333333334,8.7,0.9693486590038314,4744,3.1800000667572,1884,724,5
p10,8.583333333333334,9.183333333333334,0.9346642468239564,2276,1.54999995231628,1632,824,7
p10,7.683333333333334,8.3,0.9257028112449799,8925,5.98999977111816,2200,604,8
p10,8.716666666666667,9.05,0.9631675874769797,8954,6.01000022888184,2220,671,9
p10,8.883333333333333,9.166666666666666,0.9690909090909091,4500,3.01999998092651,1886,709,11
p10,11.533333333333333,12.033333333333333,0.9584487534626038,4935,3.30999994277954,1945,546,12
p10,7.783333333333333,8.35,0.9321357285429142,4081,2.74000000953674,1880,692,13
p10,8.133333333333333,8.433333333333334,0.9644268774703557,9259,6.21000003814697,2314,544,14
p10,8.416666666666666,8.6,0.9786821705426356,9899,6.6399998664856,2236,649,15
p10,4.766666666666667,5.116666666666666,0.9315960912052117,10780,7.23000001907349,2324,680,16
p10,8.283333333333333,8.7,0.9521072796934866,10817,7.28000020980835,2367,552,17
p10,8.716666666666667,9.1,0.9578754578754579,7990,5.3600001335144,2175,624,18
p10,8.166666666666666,8.6,0.9496124031007752,8221,5.51999998092651,2092,695,19
p10,8.066666666666666,8.333333333333334,0.968,1251,0.839999973773956,1593,836,20
p10,7.966666666666667,8.433333333333334,0.9446640316205533,9261,6.23999977111816,2270,585,21
p10,7.9,8.533333333333333,0.92578125,9648,6.46999979019165,2235,669,22
p10,7.5,8.183333333333334,0.9164969450101833,9524,6.42000007629395,2266,692,25
p10,8.45,8.833333333333334,0.9566037735849057,7937,5.32999992370605,2158,586,26
p10,10.033333333333333,10.633333333333333,0.9435736677115988,3672,2.46000003814697,1792,603,27
p10,8.916666666666666,9.416666666666666,0.9469026548672567,10378,6.96000003814697,2345,490,28
p10,8.116666666666667,8.616666666666667,0.941972920696325,9487,6.36999988555908,2260,555,29
p10,8.816666666666666,9.3,0.9480286738351255,9129,6.13000011444092,2232,574,30
p10,5.033333333333333,5.35,0.940809968847352,17,0.0099999997764825,257,0,31
p11,8.316666666666666,8.766666666666667,0.9486692015209125,8758,6.73000001907349,3066,837,4
p11,7.1,7.466666666666667,0.9508928571428571,6580,5.05999994277954,3073,609,5
p11,10.316666666666666,10.683333333333334,0.9656786271450858,4660,3.57999992370605,2572,721,6
